ID,OUTCOME
299429,0
949426,0
455304,0
513675,0
617387,0
436863,1
227991,1
677307,1
5656,0
818173,0
62863,0
143410,0
795527,1
513598,0
373533,0
121496,0
368915,1
309619,0
348146,0
847312,0
268799,0
440272,0
196570,0
402571,0
463229,1
297854,0
975718,0
488658,0
320313,0
323129,0
642860,1
445056,0
531284,0
662855,0
881496,0
845655,0
519751,1
745325,0
518073,0
214281,0
828111,1
466025,0
639084,1
461923,1
897135,1
235726,0
682225,1
396326,0
866306,1
155779,0
869862,0
947354,0
370253,0
672542,0
823828,0
36065,1
80718,0
825288,0
414572,0
24396,0
329598,1
603341,0
220700,1
447863,1
962434,0
634006,0
245523,0
556806,0
136795,1
745014,1
361686,0
180465,0
15409,0
645283,1
746172,1
284609,0
787173,0
324523,1
946168,1
164865,1
584870,0
592444,1
780408,1
313409,0
600015,0
449608,0
392143,0
508287,0
102757,0
426769,0
319786,1
472257,0
614120,0
455627,0
886751,1
424339,1
954045,1
539780,0
458428,0
237986,1
448925,1
140311,1
67509,0
757295,0
2654,1
125456,0
510231,0
123705,0
252060,0
683736,0
40343,0
750098,0
837247,1
999976,0
935123,0
345979,0
278816,0
457341,0
845448,1
303039,0
782130,0
347755,0
12333,0
763764,0
655511,1
885622,0
328664,1
606142,0
206134,1
195959,0
647122,0
55396,1
349851,0
329801,0
890672,0
25825,1
273676,0
573910,0
242100,0
587145,0
273939,0
905593,1
545992,0
969562,0
363787,0
416920,0
664716,0
906950,0
344660,0
129882,0
851428,0
766789,0
534886,0
791078,0
924520,1
449811,0
435122,0
102844,1
9863,0
592668,1
457936,0
384974,0
933410,0
297690,0
280096,0
512035,0
518188,0
942224,0
347653,0
978369,1
290516,0
430766,1
212303,0
753838,0
754299,1
872973,0
517511,0
357194,1
632227,1
73173,0
717908,0
196865,0
826053,0
394342,1
344827,0
425747,1
582667,0
53828,1
339853,0
932809,1
7866,0
272776,0
26248,0
545309,0
236191,1
918612,1
910531,1
854685,1
829614,0
498195,0
277626,1
527665,0
449921,0
953688,0
925647,1
104866,1
400562,0
508723,0
277802,1
630035,0
276256,0
177582,1
403686,1
650746,0
776379,0
777885,0
781035,1
828324,1
813341,0
827898,1
457285,0
680919,1
79260,1
308586,1
171762,1
85568,0
973470,1
456102,0
702884,1
145769,1
486729,0
46172,0
366895,1
949933,1
795366,1
685602,0
454978,0
811551,1
569958,0
841491,0
116199,1
893542,0
96421,0
293475,0
203613,0
78172,0
329676,0
200506,0
642689,0
965846,0
913065,0
377816,1
996456,0
605373,0
947853,0
839760,0
397560,0
400017,0
439231,0
417103,1
267023,1
245117,0
202518,0
862679,0
741377,0
880628,0
568152,0
612154,0
454160,0
227941,0
277454,0
850641,0
313949,1
531038,0
548681,0
747021,0
614666,0
945698,0
611418,1
9941,0
382705,0
114941,1
131534,1
655964,1
984920,0
520581,0
371132,0
608987,1
812547,0
270305,0
94864,0
832985,1
578026,0
158411,0
965962,1
270343,0
298541,0
77834,0
895871,1
150276,0
276564,1
666008,0
968311,0
182184,0
583749,1
686620,0
884501,0
169656,0
975961,0
937716,0
278029,1
995242,1
919799,0
955572,1
211129,0
318141,0
123428,1
895571,0
297659,0
468623,0
97857,0
117869,0
905046,0
451227,0
373872,1
913451,0
948703,1
607238,0
288785,0
196588,1
710895,1
133119,0
157866,1
344650,0
139382,1
311831,0
18175,1
337154,0
439225,0
961745,0
203422,0
921332,0
587280,0
110753,0
619056,1
229960,0
438567,0
256735,0
679847,0
59621,0
781339,0
989865,0
320282,1
875652,0
778438,0
695849,0
907249,0
456080,0
645212,0
778420,1
851978,1
782814,0
837784,1
706391,0
29008,0
11478,1
940396,0
174162,0
933220,1
662300,0
726973,0
609636,0
763147,0
507075,0
972296,0
993569,0
663729,1
248038,0
584335,0
908381,0
48036,0
87906,0
98260,0
655543,1
63383,0
362014,0
415219,1
897379,1
462054,0
883353,0
416175,0
296063,0
150843,0
562555,1
157916,0
398578,0
921134,1
259935,0
575729,1
84921,1
603882,0
802297,0
603309,0
375315,0
149874,0
58284,0
169690,1
643377,0
416380,0
446206,0
119771,1
887486,0
792926,0
497630,0
468732,1
567328,0
957672,0
128918,0
471702,0
504941,1
977069,1
357589,1
141554,0
838981,1
378303,0
112128,0
402995,0
949788,0
731473,0
671362,0
479539,0
239778,1
181858,0
401739,0
627751,0
137975,0
962966,1
557345,0
156901,0
83709,0
854217,0
218011,0
399675,1
971427,0
494823,0
444919,1
603013,0
645596,0
837609,1
739670,1
673316,0
959087,1
269942,0
597383,0
116223,0
973996,1
410008,1
621145,0
387710,0
485643,1
825240,0
465478,0
158980,1
712934,1
749627,0
777639,0
266513,0
565310,1
247276,0
991678,0
442227,0
70043,0
935526,0
636518,0
303443,0
870829,1
149365,0
430796,0
143750,1
956893,0
859164,0
924451,1
568119,0
393627,1
667733,1
904219,0
331175,0
640807,1
767300,0
83894,0
73652,0
686058,0
638945,1
138696,1
832488,1
333255,0
746691,0
519878,0
983527,1
385997,0
804181,0
428914,0
250099,0
428284,1
949028,0
344160,0
774567,0
630189,1
493263,0
235390,0
974832,1
135317,0
139106,1
685176,0
226461,1
18850,0
831974,1
901622,0
79770,1
325180,0
124813,1
805924,0
553534,0
378176,0
374337,0
865367,0
528129,0
532765,0
804529,1
51347,0
963521,0
161641,0
422469,0
39165,0
356599,0
284890,0
353086,0
771433,1
355929,0
950726,0
62325,0
467990,1
192184,0
271313,0
588405,1
426907,1
447793,1
237361,1
514747,0
769677,0
950198,1
807751,0
734398,0
583391,0
187756,0
634671,0
210417,0
351203,0
870877,0
105423,0
533795,1
74399,0
819958,0
228250,0
396229,0
645492,0
454718,1
485351,0
93808,0
383166,0
906662,0
934008,0
156487,1
510597,1
489913,0
977790,0
11655,0
24782,0
158804,0
330068,1
613325,1
243897,0
335376,1
352738,0
815444,1
119756,1
138410,1
532363,1
727243,0
367681,1
732633,0
220771,0
576658,1
742658,0
766817,0
345254,0
829498,0
109424,1
184990,0
244465,0
271618,0
53771,0
525422,0
916846,1
492427,1
872345,0
180310,0
221895,1
720877,0
736442,0
780494,1
759478,0
134100,0
774388,0
801455,0
258856,1
113779,0
432535,0
699457,0
69133,0
807975,0
96502,0
219075,0
371099,0
902574,0
110314,0
12797,1
751340,1
606154,0
485813,1
452365,1
853640,0
721496,0
833873,0
870414,0
674189,1
123718,0
199281,0
528402,0
16946,1
740411,0
303057,1
567494,1
991147,0
870774,0
931660,0
452079,0
157696,1
609544,1
339312,0
748599,1
320490,0
27742,1
920599,0
609451,1
379796,1
559975,1
150730,1
588985,1
163628,1
376806,0
494053,0
720103,0
201634,0
42523,1
170603,0
419566,1
640069,0
182495,0
606589,0
636102,1
882723,0
513857,1
920063,0
729005,1
668980,1
32066,0
305745,1
327121,0
580931,1
68047,1
876787,1
773546,1
736711,0
250532,1
191302,1
321959,0
338472,0
918280,0
247096,1
985516,0
526513,0
273595,0
379336,0
445553,0
757581,0
187551,1
634665,0
419573,1
370727,0
494338,0
291453,0
72557,0
446159,0
584002,0
203498,1
589865,0
25092,0
777822,0
772170,0
767370,1
903217,1
607386,1
887453,0
396790,0
578825,0
92173,1
635553,0
222975,0
155974,0
860928,0
405074,1
471364,0
870188,0
94829,0
289822,1
851296,0
434608,1
747726,0
215613,0
555833,1
707512,0
988872,0
458901,1
265562,0
217724,0
607487,0
355257,0
66996,0
456881,0
187532,0
442340,0
983137,1
984632,0
802258,0
450037,1
496245,1
842325,0
89713,1
91470,1
291607,0
365982,0
985825,1
4968,1
432306,0
154753,1
131574,0
789098,0
167759,0
229616,0
401573,0
890456,0
126536,0
140816,0
238316,0
445834,1
570990,0
592836,0
447632,1
867503,0
444308,1
105122,1
151323,0
106492,0
484080,1
501954,0
70060,0
217960,1
95403,1
150723,0
643739,0
340581,0
342908,0
15695,1
45676,1
883610,0
442558,0
777487,1
484048,0
885657,1
714665,1
938792,0
137153,1
336558,0
798069,0
75570,0
34444,0
89733,0
474345,1
295048,0
112460,1
378321,0
1063,1
525347,0
645880,0
207193,0
972502,0
656485,1
524309,0
34015,0
632608,0
314119,0
661337,0
499894,1
783337,0
240045,1
755201,0
965093,0
858407,0
677702,0
197533,0
922527,0
61789,0
899911,0
866446,0
286646,1
71068,0
870976,0
511886,1
527784,0
475443,1
349537,0
190736,0
987410,0
988023,0
79207,1
858189,1
542901,0
299379,0
847988,0
344762,0
522326,1
934207,0
248253,1
911959,0
860089,0
899435,0
146120,0
490211,1
406724,0
96047,1
109953,0
108318,0
322243,0
779491,0
39284,0
290734,1
313691,0
627448,0
495699,1
894556,0
491509,0
10740,0
710465,0
374493,0
462864,0
936784,1
36613,1
424858,1
654445,0
352305,0
891962,0
939798,0
119272,0
601379,0
482624,0
571823,0
480327,0
660014,1
839189,0
261942,0
583854,0
907915,1
658578,1
595202,0
935057,1
140098,1
187856,0
352741,0
307879,0
831721,0
883062,0
749179,0
310559,0
238906,0
628082,0
500563,0
811449,1
937546,0
150119,1
359123,0
441508,1
811326,0
49925,0
783027,0
763160,0
453738,1
641074,1
663153,1
617268,0
703794,0
714830,1
459692,1
410017,0
268879,0
335757,1
924758,1
633661,0
156445,0
92488,0
139214,0
243937,0
115527,0
886615,1
221358,0
453777,1
681107,1
248942,0
711881,0
889696,1
859208,1
664323,1
733794,1
728365,0
114885,1
829141,0
306823,1
734633,1
287800,0
46993,1
46460,1
37712,0
255391,0
16414,0
184604,0
248576,1
951643,0
841092,0
330071,0
181644,0
459966,0
622481,0
259944,1
913111,1
691782,0
120400,0
392215,1
786008,0
635121,1
124139,1
59310,1
846661,0
842821,0
258406,0
463615,0
849311,0
42611,0
120752,1
212456,0
395100,1
679466,1
752227,0
820028,0
322841,1
496015,0
27358,1
928760,1
869463,1
730142,0
154598,0
608162,0
295095,0
371569,1
523239,0
608207,0
339741,0
659481,0
864844,1
695445,0
434588,0
197470,0
139952,0
674689,0
913429,0
31975,0
234315,0
872992,0
585537,0
274516,1
918944,0
